Дата;Температура, °C;Диапазон;Давление, кПа;Напряжение,мВ;Сопротивнение, Ом;Отклонение
2020-07-14 09:46:30;-40;1;0;-1,2961;3022,2;0
2020-07-14 09:49:58;-40;1;250;2,8601;3021,8999;0
2020-07-14 09:53:58;-40;1;1000;15,3252;3021,5;0
2020-07-14 09:56:18;-40;1;1500;23,6265;3021,6001;0
2020-07-14 09:58:56;-40;1;2000;31,9274;3021,8999;0
2020-07-14 10:00:21;-40;1;2500;40,2017;3022,1001;0
2020-07-14 11:49:08;-10;1;0;-1,1792;3190,8999;0
2020-07-14 11:51:09;-10;1;250;2,924;3191,3;0
2020-07-14 11:53:08;-10;1;1000;15,2267;3191,3999;0
2020-07-14 11:54:47;-10;1;1500;23,423;3191,7;0
2020-07-14 11:56:45;-10;1;2000;31,615;3192,3999;0
2020-07-14 11:58:59;-10;1;2500;39,8023;3193,3999;0
2020-07-14 14:40:06;50;1;0;-0,9931;3645,6001;0
2020-07-14 14:41:51;50;1;250;3,1741;3646,1001;0
2020-07-14 14:44:17;50;1;1000;15,6749;3646,7;0
2020-07-14 14:46:19;50;1;1500;24,0078;3647,6001;0
2020-07-14 14:50:38;50;1;2000;32,3397;3649,5;0
2020-07-14 14:52:35;50;1;2500;40,6708;3650,3;0
2020-07-14 16:32:18;80;1;0;-0,9015;3916,1001;0
2020-07-14 16:36:58;80;1;250;3,3409;3917,6001;0
2020-07-14 16:38:46;80;1;1000;16,0677;3918;0
2020-07-14 16:41:21;80;1;1500;24,5529;3918,8999;0
2020-07-14 16:43:49;80;1;2000;33,0372;3919,8999;0
2020-07-14 16:45:13;80;1;2500;41,521;3920,6001;0
2020-07-15 08:59:28;23;1;0;-1,0746;3436,3999;0
2020-07-15 09:03:15;23;1;250;3,0464;3436,6001;0
2020-07-15 09:05:19;23;1;1000;15,4083;3436,5;0
2020-07-15 09:06:54;23;1;1500;23,6459;3436,6001;0
2020-07-15 09:09:13;23;1;2000;31,881;3437,1001;0
2020-07-15 09:11:11;23;1;2500;40,1134;3437,6001;0
